"date","title","circuit","win","pole"
"Mar 25","2018 Australian Grand Prix","Melbourne Grand Prix Circuit","Sebastian Vettel","Lewis Hamilton"
"Apr 8","2018 Bahrain Grand Prix","Bahrain International Circuit","Sebastian Vettel","Sebastian Vettel"
"Apr 15","2018 Chinese Grand Prix","Shanghai International Circuit","Daniel Ricciardo","Sebastian Vettel"
"Apr 29","2018 Azerbaijan Grand Prix","Baku City Circuit","Lewis Hamilton","Sebastian Vettel"
"May 13","2018 Spanish Grand Prix","Circuit de Barcelona-Catalunya","Lewis Hamilton","Lewis Hamilton"
"May 27","2018 Monaco Grand Prix","Circuit de Monaco","Daniel Ricciardo","Daniel Ricciardo"
"Jun 10","2018 Canadian Grand Prix","Circuit Gilles Villeneuve","Sebastian Vettel","Sebastian Vettel"
"Jun 24","2018 French Grand Prix","Circuit Paul Ricard","Lewis Hamilton","Lewis Hamilton"
"Jul 1","2018 Austrian Grand Prix","Red Bull Ring","Max Verstappen","Valtteri Bottas"
"Jul 8","2018 British Grand Prix","Silverstone Circuit","Sebastian Vettel","Lewis Hamilton"
"Jul 22","2018 German Grand Prix","Hockenheimring","Lewis Hamilton","Sebastian Vettel"
"Jul 29","2018 Hungarian Grand Prix","Hungaroring","Lewis Hamilton","Lewis Hamilton"
"Aug 26","2018 Belgian Grand Prix","Circuit de Spa-Francorchamps","Sebastian Vettel","Lewis Hamilton"
"Sep 2","2018 Italian Grand Prix","Autodromo Nazionale Monza","Lewis Hamilton","Kimi Räikkönen"
"Sep 16","2018 Singapore Grand Prix","Marina Bay Street Circuit","Lewis Hamilton","Lewis Hamilton"
"Sep 30","2018 Russian Grand Prix","Sochi Autodrom","Lewis Hamilton","Valtteri Bottas"
"Oct 7","2018 Japanese Grand Prix","Suzuka Circuit","Lewis Hamilton","Lewis Hamilton"
"Oct 21","2018 United States Grand Prix","Circuit of the Americas","Kimi Räikkönen","Lewis Hamilton"
"Oct 28","2018 Mexican Grand Prix","Autódromo Hermanos Rodríguez","Max Verstappen","Daniel Ricciardo"
"Nov 11","2018 Brazilian Grand Prix","Autódromo José Carlos Pace","Lewis Hamilton","Lewis Hamilton"
"Nov 25","2018 Abu Dhabi Grand Prix","Yas Marina Circuit","Lewis Hamilton","Lewis Hamilton"
