"team","win","podium"
"Alfa Romeo Racing","5","11"
"Alta Car and Engineering Company","0","0"
"British Racing Motors (BRM)","0","0"
"Bromme","0","0"
"Deidt","0","0"
"English Racing Automobiles (ERA)","0","0"
"Scuderia Ferrari","3","13"
"Hersham and Walton Motors (HWM)","0","0"
"Hall","0","0"
"Kurtis","1","4"
"Kurtis Kraft","0","0"
"Kuzma","0","0"
"Lesovsky","0","0"
"Marchese","0","0"
"Maserati","0","0"
"Moore","0","0"
"Officine Specializzate Costruzione Automobili (O.S.C.A.)","0","0"
"Pawl","0","0"
"Schroeder","0","0"
"Sherman","0","0"
"Simca-Gordini","0","0"
"Talbot-Lago","0","0"
"Trevis","0","0"
"Veritas","0","0"
"Watson","0","0"
