circuit,location,lat,lon,race_count
Adelaide Street Circuit,"Adelaide, Australia",-34.9281805,138.5999312,0
Ain-Diab Circuit,"Casablanca, Morocco",33.5945144,-7.6200284,0
Aintree Motor Racing Circuit,"Aintree, United Kingdom",53.4803632,-2.9376261,0
Algarve International Circuit,"Portimão, Portugal",37.1375808,-8.5368426,2
Anderstorp Raceway,"Anderstorp, Sweden",57.2829822,13.6368211,0
Autódromo do Estoril,"Estoril, Portugal",38.7095707,-9.3901368,0
Autódromo Hermanos Rodríguez,"Mexico City, Mexico",19.3207722,-99.1514678,5
Autódromo Internacional Nelson Piquet,"Rio de Janeiro, Brazil",-22.9110137,-43.2093727,0
Autodromo Internazionale del Mugello,"Scarperia e San Piero, Italy",44.0109647,11.3313495,1
Autodromo Internazionale Enzo e Dino Ferrari,"Imola, Italy",44.3535145,11.7141233,4
Autódromo José Carlos Pace,"São Paulo, Brazil",-23.5506507,-46.6333824,5
Autódromo Juan y Oscar Gálvez,"Buenos Aires, Argentina",-34.6095579,-58.3887904,2
Autodromo Nazionale Monza,"Monza, Italy",45.6395418,9.2788304,11
AVUS,"Berlin, Germany",52.5173885,13.3951309,0
Bahrain International Circuit,"Sakhir, Bahrain",26.0316553,50.5145563,7
Baku City Circuit,"Baku, Azerbaijan",40.3755885,49.8328009,5
Brands Hatch,"Fawkham, United Kingdom",51.3762035,0.2811518,0
Buddh International Circuit,"Greater Noida, India",28.4670734,77.5137649,0
Bugatti Circuit,"Le Mans, France",48.0073849,0.1967849,0
Caesars Palace,"Las Vegas, United States of America",36.1674263,-115.1484131,0
Canadian Tire Motorsport Park,"Bowmanville, Canada",43.9122995,-78.6891675,0
Charade Circuit,"Clermont-Ferrand, France",45.7774551,3.0819427,0
Circuit Bremgarten,"Bern, Switzerland",46.9484742,7.4521749,5
Circuit de Barcelona-Catalunya,"Montmeló, Spain",41.5515189,2.2480812,6
Circuit de Monaco,"Monte Carlo, Monaco",43.7402961,7.426559,6
Circuit de Nevers Magny-Cours,"Nevers, France",46.9876601,3.1577203,0
Circuit de Spa-Francorchamps,"Spa, Belgium",50.4920654,5.8627569,11
Circuit Gilles Villeneuve,"Montreal, Canada",45.5031824,-73.5698065,4
Circuit Mont-Tremblant,"Mont-Tremblant, Canada",46.11588,-74.5891426,0
Circuito da Boavista,"Porto, Portugal",41.1502195,-8.6103497,0
Circuito de Jerez,"Jerez de la Frontera, Spain",36.6816936,-6.1377402,0
Circuito del Jarama,"Madrid, Spain",40.416782,-3.703507,0
Circuito de Monsanto,"Lisbon, Portugal",38.7077507,-9.1365919,0
Circuito de Montjuïc,"Barcelona, Spain",41.3825802,2.177073,0
Circuit of the Americas,"Austin, United States of America",30.2711286,-97.7436995,5
Circuit Park Zandvoort,"Zandvoort, Netherlands",52.3719838,4.5302209,6
Circuit Paul Ricard,"Le Castellet, France",43.2028485,5.7761107,3
Circuit Zolder,"Heusden-Zolder, Belgium",51.0233485,5.2750485,0
Detroit Street Circuit,"Detroit, United States of America",42.3315509,-83.046640300000007,0
Dijon-Prenois,"Dijon, France",47.3215806,5.0414701,0
Donington Park,"Leicestershire, United Kingdom",52.6849138,-1.1847653,0
Fair Park,"Dallas, United States of America",32.7762719,-96.7968559,0
Fuji Speedway,"Oyama, Japan",36.315537,139.8006952,0
Hockenheimring,"Hockenheim, Germany",49.3188892,8.5475467,1
Hungaroring,"Budapest, Hungary",47.4813896,19.1460941,6
Indianapolis Motor Speedway,"Indianapolis, United States of America",39.7683331,-86.1583502,5
Istanbul Park,"Istanbul, Turkey",41.006381,28.9758715,2
Jeddah Corniche Circuit,"Jeddah, Saudi Arabia",21.5504432,39.1742363,4
Korea International Circuit,"Yeongam, South Korea",34.800052,126.6970381,0
