year,date,date_parsed,title,circuit,winner_driver,pole_driver,winner_team
1950,May 13,NA,1950 British Grand Prix,Silverstone Circuit,Nino Farina,Nino Farina,Not listed
1950,May 21,NA,1950 Monaco Grand Prix,Circuit de Monaco,Juan Manuel Fangio,Juan Manuel Fangio,Not listed
1950,May 30,NA,1950 Indianapolis 500,Indianapolis Motor Speedway,Johnnie Parsons,Walt Faulkner,Not listed
1950,Jun 4,NA,1950 Swiss Grand Prix,Circuit Bremgarten,Nino Farina,Juan Manuel Fangio,Not listed
1950,Jun 18,NA,1950 Belgian Grand Prix,Circuit de Spa-Francorchamps,Juan Manuel Fangio,Nino Farina,Not listed
1950,Jul 2,NA,1950 French Grand Prix,Reims-Gueux,Juan Manuel Fangio,Juan Manuel Fangio,Not listed
1950,Sep 3,NA,1950 Italian Grand Prix,Autodromo Nazionale Monza,Nino Farina,Juan Manuel Fangio,Not listed
1951,May 27,NA,1951 Swiss Grand Prix,Circuit Bremgarten,Juan Manuel Fangio,Juan Manuel Fangio,Not listed
1951,May 30,NA,1951 Indianapolis 500,Indianapolis Motor Speedway,Lee Wallard,Duke Nalon,Not listed
1951,Jun 17,NA,1951 Belgian Grand Prix,Circuit de Spa-Francorchamps,Nino Farina,Juan Manuel Fangio,Not listed
1951,Jul 1,NA,1951 French Grand Prix,Reims-Gueux,Luigi Fagioli,Juan Manuel Fangio,Not listed
1951,Jul 14,NA,1951 British Grand Prix,Silverstone Circuit,José Froilán González,José Froilán González,Not listed
1951,Jul 29,NA,1951 German Grand Prix,Nürburgring,Alberto Ascari,Alberto Ascari,Not listed
1951,Sep 16,NA,1951 Italian Grand Prix,Autodromo Nazionale Monza,Alberto Ascari,Juan Manuel Fangio,Not listed
1951,Oct 28,NA,1951 Spanish Grand Prix,Pedralbes Circuit,Juan Manuel Fangio,Alberto Ascari,Not listed
1952,May 18,NA,1952 Swiss Grand Prix,Circuit Bremgarten,Piero Taruffi,Nino Farina,Not listed
1952,May 30,NA,1952 Indianapolis 500,Indianapolis Motor Speedway,Troy Ruttman,Fred Agabashian,Not listed
1952,Jun 22,NA,1952 Belgian Grand Prix,Circuit de Spa-Francorchamps,Alberto Ascari,Alberto Ascari,Not listed
1952,Jul 6,NA,1952 French Grand Prix,Rouen-Les-Essarts,Alberto Ascari,Alberto Ascari,Not listed
1952,Jul 19,NA,1952 British Grand Prix,Silverstone Circuit,Alberto Ascari,Nino Farina,Not listed
1952,Aug 3,NA,1952 German Grand Prix,Nürburgring,Alberto Ascari,Alberto Ascari,Not listed
1952,Aug 17,NA,1952 Dutch Grand Prix,Circuit Park Zandvoort,Alberto Ascari,Alberto Ascari,Not listed
1952,Sep 7,NA,1952 Italian Grand Prix,Autodromo Nazionale Monza,Alberto Ascari,Alberto Ascari,Not listed
1953,Jan 18,NA,1953 Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Alberto Ascari,Alberto Ascari,Not listed
1953,May 30,NA,1953 Indianapolis 500,Indianapolis Motor Speedway,Bill Vukovich,Bill Vukovich,Not listed
1953,Jun 7,NA,1953 Dutch Grand Prix,Circuit Park Zandvoort,Alberto Ascari,Alberto Ascari,Not listed
1953,Jun 21,NA,1953 Belgian Grand Prix,Circuit de Spa-Francorchamps,Alberto Ascari,Juan Manuel Fangio,Not listed
1953,Jul 5,NA,1953 French Grand Prix,Reims-Gueux,Mike Hawthorn,Alberto Ascari,Not listed
1953,Jul 18,NA,1953 British Grand Prix,Silverstone Circuit,Alberto Ascari,Alberto Ascari,Not listed
1953,Aug 2,NA,1953 German Grand Prix,Nürburgring,Nino Farina,Alberto Ascari,Not listed
1953,Aug 23,NA,1953 Swiss Grand Prix,Circuit Bremgarten,Alberto Ascari,Juan Manuel Fangio,Not listed
1953,Sep 13,NA,1953 Italian Grand Prix,Autodromo Nazionale Monza,Juan Manuel Fangio,Alberto Ascari,Not listed
1954,Jan 17,NA,1954 Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Juan Manuel Fangio,Nino Farina,Not listed
1954,May 31,NA,1954 Indianapolis 500,Indianapolis Motor Speedway,Bill Vukovich,Jack McGrath,Not listed
1954,Jun 20,NA,1954 Belgian Grand Prix,Circuit de Spa-Francorchamps,Juan Manuel Fangio,Juan Manuel Fangio,Not listed
1954,Jul 4,NA,1954 French Grand Prix,Reims-Gueux,Juan Manuel Fangio,Juan Manuel Fangio,Not listed
1954,Jul 17,NA,1954 British Grand Prix,Silverstone Circuit,José Froilán González,Juan Manuel Fangio,Not listed
1954,Aug 1,NA,1954 German Grand Prix,Nürburgring,Juan Manuel Fangio,Juan Manuel Fangio,Not listed
1954,Aug 22,NA,1954 Swiss Grand Prix,Circuit Bremgarten,Juan Manuel Fangio,José Froilán González,Not listed
1954,Sep 5,NA,1954 Italian Grand Prix,Autodromo Nazionale Monza,Juan Manuel Fangio,Juan Manuel Fangio,Not listed
1954,Oct 24,NA,1954 Spanish Grand Prix,Pedralbes Circuit,Mike Hawthorn,Alberto Ascari,Not listed
2019,Mar 17,NA,2019 Australian Grand Prix,Melbourne Grand Prix Circuit,Valtteri Bottas,Lewis Hamilton,Not listed
2019,Mar 31,NA,2019 Bahrain Grand Prix,Bahrain International Circuit,Lewis Hamilton,Charles Leclerc,Not listed
2019,Apr 14,NA,2019 Chinese Grand Prix,Shanghai International Circuit,Lewis Hamilton,Valtteri Bottas,Not listed
2019,Apr 28,NA,2019 Azerbaijan Grand Prix,Baku City Circuit,Valtteri Bottas,Valtteri Bottas,Not listed
2019,May 12,NA,2019 Spanish Grand Prix,Circuit de Barcelona-Catalunya,Lewis Hamilton,Valtteri Bottas,Not listed
2019,May 26,NA,2019 Monaco Grand Prix,Circuit de Monaco,Lewis Hamilton,Lewis Hamilton,Not listed
2019,Jun 9,NA,2019 Canadian Grand Prix,Circuit Gilles Villeneuve,Lewis Hamilton,Sebastian Vettel,Not listed
2019,Jun 23,NA,2019 French Grand Prix,Circuit Paul Ricard,Lewis Hamilton,Lewis Hamilton,Not listed
2019,Jun 30,NA,2019 Austrian Grand Prix,Red Bull Ring,Max Verstappen,Charles Leclerc,Not listed
2019,Jul 14,NA,2019 British Grand Prix,Silverstone Circuit,Lewis Hamilton,Valtteri Bottas,Not listed
2019,Jul 28,NA,2019 German Grand Prix,Hockenheimring,Max Verstappen,Lewis Hamilton,Not listed
2019,Aug 4,NA,2019 Hungarian Grand Prix,Hungaroring,Lewis Hamilton,Max Verstappen,Not listed
2019,Sep 1,NA,2019 Belgian Grand Prix,Circuit de Spa-Francorchamps,Charles Leclerc,Charles Leclerc,Not listed
2019,Sep 8,NA,2019 Italian Grand Prix,Autodromo Nazionale Monza,Charles Leclerc,Charles Leclerc,Not listed
2019,Sep 22,NA,2019 Singapore Grand Prix,Marina Bay Street Circuit,Sebastian Vettel,Charles Leclerc,Not listed
2019,Sep 29,NA,2019 Russian Grand Prix,Sochi Autodrom,Lewis Hamilton,Charles Leclerc,Not listed
2019,Oct 13,NA,2019 Japanese Grand Prix,Suzuka Circuit,Valtteri Bottas,Sebastian Vettel,Not listed
2019,Oct 27,NA,2019 Mexican Grand Prix,Autódromo Hermanos Rodríguez,Lewis Hamilton,Charles Leclerc,Not listed
2019,Nov 3,NA,2019 United States Grand Prix,Circuit of the Americas,Valtteri Bottas,Valtteri Bottas,Not listed
