"date","title","circuit","win","pole"
"Mar 17","2019 Australian Grand Prix","Melbourne Grand Prix Circuit","Valtteri Bottas","Lewis Hamilton"
"Mar 31","2019 Bahrain Grand Prix","Bahrain International Circuit","Lewis Hamilton","Charles Leclerc"
"Apr 14","2019 Chinese Grand Prix","Shanghai International Circuit","Lewis Hamilton","Valtteri Bottas"
"Apr 28","2019 Azerbaijan Grand Prix","Baku City Circuit","Valtteri Bottas","Valtteri Bottas"
"May 12","2019 Spanish Grand Prix","Circuit de Barcelona-Catalunya","Lewis Hamilton","Valtteri Bottas"
"May 26","2019 Monaco Grand Prix","Circuit de Monaco","Lewis Hamilton","Lewis Hamilton"
"Jun 9","2019 Canadian Grand Prix","Circuit Gilles Villeneuve","Lewis Hamilton","Sebastian Vettel"
"Jun 23","2019 French Grand Prix","Circuit Paul Ricard","Lewis Hamilton","Lewis Hamilton"
"Jun 30","2019 Austrian Grand Prix","Red Bull Ring","Max Verstappen","Charles Leclerc"
"Jul 14","2019 British Grand Prix","Silverstone Circuit","Lewis Hamilton","Valtteri Bottas"
"Jul 28","2019 German Grand Prix","Hockenheimring","Max Verstappen","Lewis Hamilton"
"Aug 4","2019 Hungarian Grand Prix","Hungaroring","Lewis Hamilton","Max Verstappen"
"Sep 1","2019 Belgian Grand Prix","Circuit de Spa-Francorchamps","Charles Leclerc","Charles Leclerc"
"Sep 8","2019 Italian Grand Prix","Autodromo Nazionale Monza","Charles Leclerc","Charles Leclerc"
"Sep 22","2019 Singapore Grand Prix","Marina Bay Street Circuit","Sebastian Vettel","Charles Leclerc"
"Sep 29","2019 Russian Grand Prix","Sochi Autodrom","Lewis Hamilton","Charles Leclerc"
"Oct 13","2019 Japanese Grand Prix","Suzuka Circuit","Valtteri Bottas","Sebastian Vettel"
"Oct 27","2019 Mexican Grand Prix","Autódromo Hermanos Rodríguez","Lewis Hamilton","Charles Leclerc"
"Nov 3","2019 United States Grand Prix","Circuit of the Americas","Valtteri Bottas","Valtteri Bottas"
"Nov 17","2019 Brazilian Grand Prix","Autódromo José Carlos Pace","Max Verstappen","Max Verstappen"
"Dec 1","2019 Abu Dhabi Grand Prix","Yas Marina Circuit","Lewis Hamilton","Lewis Hamilton"
