date,title,circuit,win,pole
2-Mar,2024 Bahrain Grand Prix,Bahrain International Circuit,Max Verstappen,Max Verstappen
9-Mar,2024 Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Max Verstappen,Max Verstappen
24-Mar,2024 Australian Grand Prix,Melbourne Grand Prix Circuit,Carlos Sainz Jr.,Max Verstappen
7-Apr,2024 Japanese Grand Prix,Suzuka Circuit,Max Verstappen,Max Verstappen
21-Apr,2024 Chinese Grand Prix,Shanghai International Circuit,Max Verstappen,Max Verstappen
5-May,2024 Miami Grand Prix,Miami International Autodrome,Lando Norris,Max Verstappen
19-May,2024 Emilia Romagna Grand Prix,Autodromo Internazionale Enzo e Dino Ferrari,Max Verstappen,Max Verstappen
26-May,2024 Monaco Grand Prix,Circuit de Monaco,Charles Leclerc,Charles Leclerc
9-Jun,2024 Canadian Grand Prix,Circuit Gilles Villeneuve,Max Verstappen,George Russell
23-Jun,2024 Spanish Grand Prix,Circuit de Barcelona-Catalunya,Max Verstappen,Lando Norris
30-Jun,2024 Austrian Grand Prix,Red Bull Ring,George Russell,Max Verstappen
7-Jul,2024 British Grand Prix,Silverstone Circuit,Lewis Hamilton,George Russell
21-Jul,2024 Hungarian Grand Prix,Hungaroring,Oscar Piastri,Lando Norris
28-Jul,2024 Belgian Grand Prix,Circuit de Spa-Francorchamps,Lewis Hamilton,Charles Leclerc
25-Aug,2024 Dutch Grand Prix,Circuit Park Zandvoort,Lando Norris,Lando Norris
1-Sep,2024 Italian Grand Prix,Autodromo Nazionale Monza,Charles Leclerc,Lando Norris
15-Sep,2024 Azerbaijan Grand Prix,Baku City Circuit,Oscar Piastri,Charles Leclerc
22-Sep,2024 Singapore Grand Prix,Marina Bay Street Circuit,Lando Norris,Lando Norris
20-Oct,2024 United States Grand Prix,Circuit of the Americas,Charles Leclerc,Lando Norris
27-Oct,2024 Mexican Grand Prix,Autódromo Hermanos Rodríguez,Carlos Sainz Jr.,Carlos Sainz Jr.
3-Nov,2024 São Paulo Grand Prix,Autódromo José Carlos Pace,Max Verstappen,Lando Norris
24-Nov,2024 Las Vegas Grand Prix,Las Vegas Street Circuit,George Russell,George Russell
1-Dec,2024 Qatar Grand Prix,Lusail International Circuit,Max Verstappen,George Russell
8-Dec,2024 Abu Dhabi Grand Prix,Yas Marina Circuit,Lando Norris,Lando Norris
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
